Age Group,,,
,Total Population of Age 15 and above by Age Group,,
,2020,,
,February,August,Yearly
15-19,22137572,22117952,-
20-24,21960373,21961534,-
25-29,21692419,21688190,-
30-34,21287327,21288916,-
35-39,20732923,20834875,-
40-44,19456134,19577426,-
45-49,18062852,18207761,-
50-54,15782429,16001335,-
55-59,13178309,13366133,-
60+,28306725,28928338,-
Total,202597063,203972460,-
