Age Group,,,
,Total Population of Age 15 and above by Age Group,,
,2021,,
,February,August,Yearly
15-19,22140124,22119160,-
20-24,21953565,21946727,-
25-29,21709247,21701824,-
30-34,21333009,21333724,-
35-39,20854336,20941858,-
40-44,19676523,19799144,-
45-49,18331384,18455721,-
50-54,16196200,16412807,-
55-59,13593920,13779004,-
60+,29572128,30218330,-
Total,205360436,206708299,-
