Age Group,,,
,Total Population of Age 15 and above by Age Group,,
,2015,,
,February,August,Yearly
15-19,22072354,22107723,-
20-24,21416448,21467771,-
25-29,20779462,20830304,-
30-34,20443072,20459299,-
35-39,19739974,19838306,-
40-44,18198338,18349321,-
45-49,16132780,16332215,-
50-54,13614242,13835141,-
55-59,10819227,11048964,-
60+,21383718,21831873,-
Total,184599615,186100917,-
