Age Group,,,
,Total Population of Age 15 and above by Age Group,,
,2017,,
,February,August,Yearly
15-19,22195429,24074997,-
20-24,21657209,19319746,-
25-29,20985839,18967054,-
30-34,20505193,20652576,-
35-39,20027615,22572272,-
40-44,18792942,18183004,-
45-49,16903773,17290654,-
50-54,14459749,14752981,-
55-59,11749974,12306963,-
60+,23310195,23959169,-
Total,190587918,192079416,-
