Age Group,,,
,Total Population of Age 15 and above by Age Group,,
,2025,,
,February,August,Yearly
15-19,22103104,-,-
20-24,22191042,-,-
25-29,22518597,-,-
30-34,22176417,-,-
35-39,21671449,-,-
40-44,20634240,-,-
45-49,19546544,-,-
50-54,17478084,-,-
55-59,15035989,-,-
60+,33430531,-,-
Total,216785997,-,-
