Age Group,,,
,Total Population of Age 15 and above by Age Group,,
,2023,,
,February,August,Yearly
15-19,22150218,22130827,-
20-24,22420013,22337387,-
25-29,22512647,22506076,-
30-34,22115670,22099245,-
35-39,21385647,21431736,-
40-44,20394372,20429650,-
45-49,18963790,19114316,-
50-54,16752929,16929057,-
55-59,14239440,14429170,-
60+,30654146,31179977,-
Total,211588872,212587441,-
